x0,y0,z0,attracted
3.2078827451798038,1.6123502555879337,1.4649157411654965,1
3.2137677474033874,1.6025939157942974,1.4610008310181044,-1
2.163826211522335,1.1935013060931077,3.327214096208837,1
2.165087855611548,1.180328690813205,3.3323941633880354,-1
2.7545373289779747,1.4510486598735617,2.464175781503668,1
2.7581698075465093,1.4410576163495588,2.4647927150604474,-1
2.5063714050526404,1.3882266561862089,3.3180006721302178,1
2.509785964045882,1.3745012956384879,3.3237897396225775,-1
2.1877821331039655,1.027313329054775,1.2971353985858607,1
2.189099362882833,1.0139717832638953,1.2921101747385153,-1
2.9387763747461104,1.4958598518889616,1.921706040306921,1
2.9446032839834313,1.4829848300689314,1.9194170401747073,-1
2.814576682431682,1.4308389280415303,1.9193699819213692,1
2.8189028149158206,1.419640137015672,1.9174235515758475,-1
2.6724727361813043,1.4014282721347258,2.4127950601952337,1
2.676147884854311,1.3899767579968745,2.413236591886702,-1
2.6344674162993544,1.2543473284050173,1.1404174614162277,1
2.6385092251020907,1.2402533095237223,1.1337402659245432,-1
1.3293928719732133,0.6478528567875463,2.4042613193906286,1
1.326872895963633,0.634600139635381,2.404611662364758,-1
2.8757627612639327,1.5749457402179792,3.106088042279703,1
2.8820568106260964,1.5606428262036616,3.111244667140462,-1
2.9507758473238423,1.4247314269066533,1.0182068513961893,1
2.9572240260057727,1.4102048191348557,1.0100563875708883,-1
2.306822513654623,1.060848803041777,1.0031481147557872,1
2.3084449205811484,1.049601355898043,0.997628730033241,-1
3.55798028369573,2.049932446447512,3.6432149793606214,1
3.5660141710755378,2.041603739467381,3.649690145615113,-1
1.092305678355944,1.2794826548180915,3.4490330557425084,1
1.0889311412952947,1.2694030384279849,3.4536320434661745,-1
1.0550741815357867,1.3393260696517868,3.475392627663748,1
1.0514131939227391,1.329115634902878,3.48027869361383,-1
0.8726544076876379,1.4588099685301315,3.4384682273417626,1
0.8681440074698475,1.4489385086083035,3.443279378910286,-1
3.2583381595059393,1.5617999200647583,0.5739282151217004,1
3.2650011988158445,1.5509183839934673,0.5652299422444734,-1
2.6129714963697843,1.2506700513531617,1.14021219363203,1
2.6165668551167,1.2377253952959542,1.134087484462018,-1
2.876960570984884,1.5805372041148515,3.146573280290173,1
2.8815003497183906,1.5702601829476506,3.1504798784742762,-1
1.0217562714693478,0.6168146710823561,2.377277837237112,1
1.018093777645896,0.6040302874116953,2.377502313864838,-1
2.0627864015650452,1.0317045814267098,2.211965704808007,1
2.0634643220525453,1.018887203648561,2.211445349342741,-1
1.7791025880433868,0.8608457956706794,2.0188009526302086,1
1.778549368003183,0.8494302111856061,2.0176014265005087,-1
2.1563045068143554,1.061373029514346,2.0054765410520847,1
2.157257266848891,1.0505793924023785,2.0042042337332404,-1
3.0768921210868223,1.661911845113401,2.8406169810002497,1
3.0847684806981954,1.6477140435808781,2.8441430756775006,-1
2.300657984534717,1.2099490702589364,2.6014916297966435,1
2.302537741807228,1.1974414860218168,2.6028670513057683,-1
0.28054535614345233,1.3789939345084576,2.703809653310878,1
0.2731646268548417,1.3683182825450082,2.705528250562529,-1
0.32082217467926644,1.8995797573234579,3.6630615828001707,1
0.3144035197253076,1.8921524122910451,3.668446243520475,-1
1.1179762106259203,0.8431528015371053,2.8486558712027366,1
1.1142674557759709,0.8296998576998037,2.8510927916090254,-1
2.3203292285892445,1.290227347293674,3.284028366133764,1
2.3227035597748906,1.2756784637250318,3.289719178575713,-1
2.284802040565766,1.1332787217379752,1.9179000181532104,1
2.2867269604728753,1.1195118272713631,1.9157716968622043,-1
2.95305828278156,1.5238714062463599,2.0787639641582976,1
2.9592498458029164,1.5105473507724205,2.077305777935028,-1
2.747931428615021,1.4004457830273904,2.01488403522335,1
2.7515041190046765,1.3903227533404643,2.013559048032742,-1
2.885070817022333,1.598302350886644,3.159188964149015,1
2.891426103593434,1.5841530987846204,3.164694937179967,-1
0.8264682058757538,0.9820260543538926,2.5563914265375267,1
0.821314436760946,0.968974343900872,2.5574957207030606,-1
1.03822162467655,1.0483594534180911,2.989820065944849,1
1.0345666635415358,1.0371535230571942,2.992589937324519,-1
1.851310630144309,0.8902692847303029,1.9736336364460882,1
1.8510449178773651,0.8790586204727973,1.9722663916343304,-1
0.7595414460071981,1.6969018644975586,3.734158460819404,1
