x,y
tensor(1.6897),tensor(-0.2190)
tensor(14.7761),tensor(-4.2853)
tensor(12.3585),tensor(-3.5842)
tensor(5.7979),tensor(-1.8315)
tensor(0.0569),tensor(0.1468)
tensor(0.2971),tensor(1.0463)
tensor(8.2768),tensor(3.7775)
tensor(13.8755),tensor(-4.0241)
tensor(2.9430),tensor(1.3432)
tensor(1.1124),tensor(0.6196)
tensor(0.2301),tensor(0.8101)
tensor(1.4808),tensor(0.4484)
tensor(1.6193),tensor(0.4904)
tensor(6.0324),tensor(-1.9055)
tensor(14.1737),tensor(-6.1694)
tensor(0.6130),tensor(3.3989)
tensor(1.6191),tensor(5.8142)
tensor(0.8972),tensor(4.9740)
tensor(0.0877),tensor(0.2264)
tensor(0.6552),tensor(0.6273)
tensor(0.5659),tensor(2.0322)
tensor(1.8116),tensor(1.0090)
tensor(0.0801),tensor(0.2877)
tensor(1.6076),tensor(0.4869)
tensor(0.2226),tensor(0.2639)
tensor(1.5516),tensor(0.4699)
tensor(0.0625),tensor(0.2246)
tensor(1.6363),tensor(0.4955)
tensor(0.7204),tensor(1.2767)
tensor(0.7804),tensor(0.2363)
tensor(0.9286),tensor(-0.1203)
tensor(3.4428),tensor(1.5713)
tensor(6.6228),tensor(-1.0405)
tensor(5.4941),tensor(-1.7355)
tensor(0.2091),tensor(0.4570)
tensor(0.8057),tensor(4.4668)
tensor(23.4978),tensor(-6.6459)
tensor(1.4754),tensor(0.4468)
tensor(0.0559),tensor(0.2009)
tensor(0.6214),tensor(3.4454)
tensor(21.1846),tensor(-6.3177)
tensor(1.9323),tensor(0.5852)
tensor(0.7834),tensor(1.3884)
tensor(14.0838),tensor(-4.0845)
tensor(0.6803),tensor(1.2057)
tensor(0.2966),tensor(-0.1697)
tensor(0.6014),tensor(0.5758)
tensor(20.3226),tensor(-6.0606)
tensor(0.0549),tensor(0.1971)
tensor(5.9223),tensor(-0.9304)
tensor(0.3093),tensor(0.0937)
tensor(0.7293),tensor(2.0109)
tensor(0.0116),tensor(0.0307)
tensor(5.8366),tensor(-1.8437)
tensor(0.6019),tensor(3.3373)
tensor(17.7629),tensor(-4.7257)
tensor(0.6513),tensor(0.6236)
tensor(4.9889),tensor(2.2769)
tensor(0.4422),tensor(2.4518)
tensor(18.8553),tensor(-7.4908)
tensor(5.8762),tensor(-1.8562)
tensor(0.0239),tensor(0.0617)
tensor(0.5635),tensor(0.9986)
tensor(9.5483),tensor(-2.9299)
tensor(11.1446),tensor(-3.2321)
tensor(6.5685),tensor(-2.0155)
tensor(0.2810),tensor(0.2690)
tensor(0.9426),tensor(2.5989)
tensor(9.3960),tensor(4.2883)
tensor(0.3396),tensor(-0.1943)
tensor(1.3811),tensor(0.7693)
tensor(0.0895),tensor(-0.0259)
tensor(0.5664),tensor(3.1402)
tensor(0.0117),tensor(0.0311)
tensor(1.2480),tensor(0.6951)
tensor(0.4946),tensor(0.8766)
tensor(0.2421),tensor(0.9019)
tensor(0.4908),tensor(1.0728)
tensor(0.7168),tensor(3.9742)
tensor(1.1541),tensor(3.1820)
tensor(0.0461),tensor(0.1191)
tensor(7.8600),tensor(3.5872)
tensor(0.6486),tensor(3.5959)
tensor(1.5172),tensor(0.4595)
tensor(0.4739),tensor(1.7017)
tensor(21.3139),tensor(-8.4675)
tensor(0.0657),tensor(0.2358)
tensor(1.1430),tensor(6.3369)
tensor(0.1059),tensor(-0.0306)
tensor(0.1026),tensor(0.3686)
tensor(0.0534),tensor(0.1378)
tensor(21.5524),tensor(-6.0957)
tensor(0.0960),tensor(0.0291)
tensor(0.9098),tensor(2.5084)
tensor(5.8385),tensor(2.6647)
tensor(23.6882),tensor(-6.6998)
tensor(0.9355),tensor(2.5794)
tensor(14.2681),tensor(-4.1380)
tensor(0.0509),tensor(0.1828)
tensor(5.2962),tensor(2.4172)
tensor(0.5727),tensor(3.1754)
tensor(21.0954),tensor(-8.3808)
tensor(0.0085),tensor(0.0225)
tensor(1.0684),tensor(-0.1385)
tensor(0.3377),tensor(0.7382)
tensor(10.5272),tensor(-3.0531)
tensor(0.9314),tensor(5.1639)
tensor(1.0249),tensor(2.8258)
tensor(2.5408),tensor(1.1596)
tensor(0.0633),tensor(0.2274)
tensor(9.5932),tensor(4.3783)
tensor(0.6141),tensor(3.4049)
tensor(0.8386),tensor(3.0115)
tensor(9.4931),tensor(-2.9130)
tensor(14.3324),tensor(-4.1566)
tensor(0.5728),tensor(1.0151)
tensor(0.0133),tensor(0.0353)
tensor(20.4690),tensor(-8.1319)
tensor(0.7456),tensor(4.1338)
tensor(0.6256),tensor(-0.0902)
tensor(21.1634),tensor(-6.3114)
tensor(1.2141),tensor(-0.6945)
tensor(0.9617),tensor(5.3321)
tensor(1.4906),tensor(0.4514)
tensor(10.0018),tensor(-2.9007)
tensor(11.4137),tensor(-3.3101)
tensor(0.4067),tensor(1.0728)
tensor(0.1832),tensor(0.4005)
tensor(0.3122),tensor(1.7309)
tensor(0.6660),tensor(1.7566)
tensor(12.3410),tensor(-3.5791)
tensor(23.4905),tensor(-6.6439)
tensor(0.7054),tensor(2.5333)
tensor(0.2751),tensor(0.7452)
tensor(1.0858),tensor(0.3288)
tensor(1.0354),tensor(2.8549)
tensor(0.0732),tensor(-0.0212)
tensor(9.5791),tensor(4.3719)
tensor(5.4275),tensor(-0.8527)
tensor(0.1325),tensor(0.3421)
tensor(0.6537),tensor(3.6243)
tensor(0.6014),tensor(3.3341)
tensor(0.3516),tensor(0.3366)
tensor(11.5802),tensor(-3.3584)
tensor(0.7735),tensor(2.1326)
tensor(0.2584),tensor(0.2474)
tensor(0.2547),tensor(0.2438)
tensor(0.7107),tensor(2.5023)
tensor(0.0128),tensor(0.0340)
tensor(0.5612),tensor(-0.3210)
tensor(4.9249),tensor(2.2477)
tensor(8.2600),tensor(3.7698)
tensor(6.2488),tensor(2.8519)
tensor(0.2980),tensor(1.0702)
tensor(0.1208),tensor(0.0366)
tensor(1.4905),tensor(5.3526)
tensor(0.2500),tensor(0.9313)
tensor(0.6520),tensor(0.6242)
tensor(6.6680),tensor(-2.0461)
tensor(22.2642),tensor(-6.2970)
tensor(3.9477),tensor(1.8017)
tensor(0.7866),tensor(2.1687)
tensor(1.5917),tensor(0.4820)
tensor(0.4570),tensor(0.8099)
tensor(19.9209),tensor(-7.9142)
tensor(9.3675),tensor(4.2753)
tensor(0.3276),tensor(0.8640)
tensor(0.4637),tensor(0.8217)
tensor(8.3989),tensor(-2.5772)
tensor(8.4797),tensor(3.8701)
tensor(1.4920),tensor(0.4518)
tensor(1.0086),tensor(2.7808)
tensor(9.2505),tensor(-2.8385)
tensor(0.2975),tensor(0.0901)
tensor(15.0483),tensor(-4.3642)
tensor(0.8834),tensor(2.4357)
tensor(22.1633),tensor(-6.2685)
tensor(7.8905),tensor(-2.4212)
tensor(0.3931),tensor(0.3764)
tensor(0.0522),tensor(-0.0056)
tensor(0.7027),tensor(3.8961)
tensor(7.1663),tensor(3.2707)
tensor(20.7270),tensor(-6.1813)
tensor(13.7748),tensor(-3.9949)
tensor(0.0554),tensor(0.1989)
tensor(0.6249),tensor(0.5983)
tensor(0.2659),tensor(0.9550)
tensor(13.6587),tensor(-3.9612)
tensor(0.2321),tensor(0.8174)
tensor(0.5978),tensor(1.5768)
tensor(0.0620),tensor(0.1601)
tensor(14.3236),tensor(-4.1541)
tensor(0.0628),tensor(-0.0182)
tensor(0.0617),tensor(0.2217)
tensor(1.0301),tensor(3.6992)
tensor(12.2503),tensor(-3.5528)
tensor(0.8768),tensor(-0.1136)
tensor(0.2793),tensor(0.7565)
tensor(0.6864),tensor(0.2079)
tensor(22.9191),tensor(-6.4823)
tensor(7.2289),tensor(-2.2182)
tensor(15.0066),tensor(-4.3522)
tensor(0.0101),tensor(0.0267)
tensor(20.6938),tensor(-6.1714)
tensor(23.5709),tensor(-6.6666)
tensor(3.6429),tensor(1.6626)
tensor(22.1933),tensor(-6.2770)
tensor(3.5394),tensor(-0.4587)
tensor(1.0885),tensor(3.0011)
tensor(9.0668),tensor(4.1380)
tensor(0.0046),tensor(0.0122)
tensor(11.7462),tensor(-3.4066)
tensor(4.0627),tensor(1.8542)
tensor(1.1345),tensor(6.2901)
tensor(0.6733),tensor(1.1933)
tensor(4.7612),tensor(2.1730)
tensor(0.3563),tensor(0.9397)
tensor(9.2268),tensor(-2.8313)
tensor(0.5763),tensor(1.5200)
